Plant ID,Plant Name,Plant Scientific Name,Plant O2 Release Data,Plant CO Absorb Data,Short Description of the plant,Recommendation Rating out of 5
PLT-0001,Chlorophytum,Saintpaulia ionantha,0.61,1.11,"Graceful palm tree, brings tropical elegance.",3.7
PLT-0002,Boston Fern,Yucca elephantipes,3.83,2.0,"Aroid plant, glossy green leaves.",4.1
PLT-0003,Spider Plant,Crassula ovata,1.48,1.87,"Produces long arching leaves with white stripes, very resilient.",4.3
PLT-0004,Oncidium,Sansevieria trifasciata,3.66,1.58,"Culinary herb, aromatic and medicinal.",4.4
PLT-0005,Monstera Deliciosa,Petunia,3.64,1.32,"Spring flowering bulb, produces vibrant colored flowers.",3.8
PLT-0006,Spathiphyllum,Nephrolepis exaltata,0.92,0.52,"Colorful foliage plant, dramatic leaf patterns.",4.4
PLT-0007,Fiddle Leaf Fig,Origanum majorana,2.91,3.41,"Delicate flowers in clusters, elegant trailing form.",3.6
PLT-0008,Amaryllis,Dieffenbachia seguine,3.28,3.04,"Variegated leaves, elegant trailing form.",3.8
PLT-0009,Philodendron,Ficus lyrata,3.48,2.75,"Nearly indestructible succulent with waxy leaves, minimal water needs.",4.8
PLT-0010,Money Plant,Fuchsia,1.75,2.3,"Dark red foliage plant, tropical appearance.",3.7
PLT-0011,Coleus,Mentha,3.52,2.52,"Slipper orchid, unique pouch-shaped flower.",4.5
PLT-0012,Epipremnum,Chlorophytum elatum,1.27,2.61,"Colorful bedding plant, blooms throughout the season.",4.2
PLT-0013,Majesty Palm,Chlorophytum elatum,3.6,0.92,"Red flowering plant, requires bright light.",4.8
PLT-0014,Dracaena,Dypsis lutescens,4.2,2.86,"Tropical flowering plant, large showy flowers.",3.9
PLT-0015,Aloe Vera,Gasteria brachyphylla,4.44,1.24,"Tree-form plant, architectural leaves.",4.2
PLT-0016,Aspidistra,Origanum majorana,1.14,0.66,"Unique spotted leaves, compact size.",4.3
PLT-0017,Syngonium,Lavandula angustifolia,4.54,1.52,"Graceful palm tree, brings tropical elegance.",5.0
PLT-0018,Cactus,Sedum,2.72,2.69,"Compact flowering plant, requires filtered bright light.",3.7
PLT-0019,Petunia,Laelia,2.4,0.41,"Delicate flowers in clusters, elegant trailing form.",4.4
PLT-0020,Sage,Aeonium arboreum,1.63,2.03,"Hardy succulent with dark green leaves, tolerates low light conditions.",4.5
PLT-0021,African Violet,Laelia,4.48,2.68,"Tropical tree, architectural statement piece.",4.0
PLT-0022,Amaryllis,Rosmarinus officinalis,1.21,0.21,"Ornamental palm, slow growing but very attractive.",5.0
PLT-0023,Lily,Hosta,4.61,3.07,"Dainty flowers, prefers cool conditions.",4.8
PLT-0024,Hosta,Epipremnum pinnatum,1.4,1.43,"Colorful bedding plant, blooms throughout the season.",4.3
PLT-0025,Aeonium,Monstera deliciosa,3.2,1.81,"Compact flowering plant, requires filtered bright light.",4.9
PLT-0026,Begonia Maculata,Chamaedorea elegans,0.76,3.1,"Nearly indestructible succulent with waxy leaves, minimal water needs.",3.6
PLT-0027,Chives,Philodendron hederaceum,4.9,1.96,"Colorful foliage plant, prefers warm humid conditions.",3.7
PLT-0028,Parsley,Lithops pseudotruncatella,1.24,1.94,"Variegated leaves, creates visual interest.",4.1
PLT-0029,Aloe Vera,Haworthia attenuata,3.9,2.48,"Spotted begonia, attractive foliage and flowers.",4.1
PLT-0030,Cordyline,Sansevieria trifasciata,2.18,3.17,"Culinary herb, aromatic and medicinal.",3.7
PLT-0031,Bamboo Palm,Philodendron hederaceum,2.02,2.14,"Feathery palm, adds height and drama.",4.4
PLT-0032,Monstera Deliciosa,Calathea orbifolia,3.69,0.39,"Climbing vine with attractive split leaves, easy care.",4.9
PLT-0033,Flamingo Flower,Calathea orbifolia,2.81,1.12,"Rosette-forming succulent, drought tolerant.",3.8
PLT-0034,Begonia,Peperomia obtusifolia,3.09,1.0,"Shade tolerant plant, decorative leaves.",4.7
PLT-0035,Sunflower,Epipremnum pinnatum,0.94,1.62,"Fragrant herb, beautiful purple flowers.",4.1
PLT-0036,Rubber Plant,Yucca elephantipes,3.44,2.33,"Compact plant with variegated foliage, tolerates low light.",4.1
PLT-0037,Spathiphyllum,Nephrolepis exaltata,1.62,0.83,"Culinary herb, aromatic and medicinal.",3.7
PLT-0038,Chrysanthemum,Schlumbergera truncata,2.58,3.09,"Beautiful patterned leaves, prefers humid environments.",4.2
PLT-0039,Lithops,Epipremnum pinnatum,0.73,3.5,"Hardy succulent with dark green leaves, tolerates low light conditions.",5.0
PLT-0040,Parlor Palm,Rosa,2.33,1.79,"Tropical flowering plant, large showy flowers.",4.9
PLT-0041,Rose,Fuchsia,0.51,1.49,"Culinary herb, mild onion flavor.",3.9
PLT-0042,Dendrobium,Aloe arborescens,3.48,1.81,"Tall flowering plant, symbolizes summer and happiness.",3.9
PLT-0043,Dracaena,Syngonium podophyllum,3.81,0.4,"Unique round leaves, compact and modern looking.",3.6
PLT-0044,Syngonium,Coriandrum sativum,2.76,3.01,"Colorful bedding plant, blooms throughout the season.",3.6
PLT-0045,Sedum,Zamioculcas zamiifolia,4.33,0.43,"Climbing vine with attractive split leaves, easy care.",4.5
PLT-0046,Parlor Palm,Hibiscus rosa-sinensis,1.04,3.14,"Classic palm, decorative and air purifying.",4.4
PLT-0047,Fiddle Leaf Fig,Aglaonema commutatum,0.87,2.37,"Miniature variety, impressive growth rate.",4.3
PLT-0048,Sago Palm,Mentha,3.51,1.24,"Ornamental palm, slow growing but very attractive.",4.1
PLT-0049,Cordyline,Aspidistra elatior,1.85,1.24,"Beautiful patterned leaves, prefers humid environments.",3.5
PLT-0050,Aglonema,Gasteria brachyphylla,4.98,0.44,"Medicinal succulent, soothing gel inside leaves.",4.3
PLT-0051,Begonia,Codiaeum variegatum,4.46,3.1,"Patient plant, produces colorful flowers.",3.9
PLT-0052,Thyme,Haworthia attenuata,3.67,2.22,"Tree-form plant, architectural leaves.",4.3
PLT-0053,Cordyline,Lithops pseudotruncatella,1.85,2.39,"Desert plant, needs bright light and minimal water.",3.9
PLT-0054,Boston Fern,Lithops pseudotruncatella,1.2,1.13,"Aromatic herb, used in cooking and beverages.",4.6
PLT-0055,Mint,Laelia,3.35,1.07,"Rosette-forming succulent, drought tolerant.",3.9
PLT-0056,Rubber Plant,Crassula ovata,3.35,2.94,"Large dramatic leaves, requires bright indirect light and regular watering.",3.5
PLT-0057,Begonia,Chlorophytum elatum,4.91,0.73,"Culinary herb, delicate fragrance.",4.3
PLT-0058,Lavender,Aloe arborescens,0.54,0.45,"Dancing orchid, delicate nodding flowers.",4.9
